country,year,polyarchy
Japan,1950,0.375
Japan,1951,0.376
Japan,1952,0.616
Japan,1953,0.777
Japan,1954,0.777
Japan,1955,0.812
Japan,1956,0.816
Japan,1957,0.816
Japan,1958,0.824
Japan,1959,0.829
Japan,1960,0.829
Japan,1961,0.831
Japan,1962,0.831
Japan,1963,0.831
Japan,1964,0.831
Japan,1965,0.831
Japan,1966,0.831
Japan,1967,0.83
Japan,1968,0.83
Japan,1969,0.83
Japan,1970,0.836
Japan,1971,0.837
Japan,1972,0.836
Japan,1973,0.832
Japan,1974,0.832
Japan,1975,0.832
Japan,1976,0.833
Japan,1977,0.838
Japan,1978,0.838
Japan,1979,0.838
Japan,1980,0.835
Japan,1981,0.835
Japan,1982,0.835
Japan,1983,0.836
Japan,1984,0.838
Japan,1985,0.838
Japan,1986,0.836
Japan,1987,0.834
Japan,1988,0.834
Japan,1989,0.834
Japan,1990,0.835
Japan,1991,0.835
Japan,1992,0.835
Japan,1993,0.837
Japan,1994,0.839
Japan,1995,0.839
Japan,1996,0.838
Japan,1997,0.837
Japan,1998,0.837
Japan,1999,0.837
Japan,2000,0.838
Japan,2001,0.838
Japan,2002,0.838
Japan,2003,0.838
Japan,2004,0.838
Japan,2005,0.841
Japan,2006,0.849
Japan,2007,0.849
Japan,2008,0.846
Japan,2009,0.854
Japan,2010,0.852
Japan,2011,0.852
Japan,2012,0.848
Japan,2013,0.815
Japan,2014,0.815
Japan,2015,0.817
Japan,2016,0.817
Japan,2017,0.821
Japan,2018,0.832
Japan,2019,0.83
Japan,2020,0.831
Japan,2021,0.824
Japan,2022,0.823
Japan,2023,0.826
Japan,2024,0.822
Japan,2025,0.819
United States of America,1789,0.346
United States of America,1790,0.347
United States of America,1791,0.347
United States of America,1792,0.351
United States of America,1793,0.351
United States of America,1794,0.351
United States of America,1795,0.352
United States of America,1796,0.353
United States of America,1797,0.355
United States of America,1798,0.347
United States of America,1799,0.344
United States of America,1800,0.343
United States of America,1801,0.356
United States of America,1802,0.361
United States of America,1803,0.361
United States of America,1804,0.354
United States of America,1805,0.351
United States of America,1806,0.352
United States of America,1807,0.352
United States of America,1808,0.353
United States of America,1809,0.353
United States of America,1810,0.352
United States of America,1811,0.352
United States of America,1812,0.352
United States of America,1813,0.352
United States of America,1814,0.356
United States of America,1815,0.356
United States of America,1816,0.355
United States of America,1817,0.355
United States of America,1818,0.357
United States of America,1819,0.358
United States of America,1820,0.352
United States of America,1821,0.346
United States of America,1822,0.345
United States of America,1823,0.345
United States of America,1824,0.345
United States of America,1825,0.346
United States of America,1826,0.346
United States of America,1827,0.346
United States of America,1828,0.353
United States of America,1829,0.353
United States of America,1830,0.358
United States of America,1831,0.363
United States of America,1832,0.362
United States of America,1833,0.362
United States of America,1834,0.367
United States of America,1835,0.368
United States of America,1836,0.368
United States of America,1837,0.368
United States of America,1838,0.368
United States of America,1839,0.369
United States of America,1840,0.355
United States of America,1841,0.342
United States of America,1842,0.342
United States of America,1843,0.343
United States of America,1844,0.342
United States of America,1845,0.341
United States of America,1846,0.337
United States of America,1847,0.331
United States of America,1848,0.331
United States of America,1849,0.331
United States of America,1850,0.33
United States of America,1851,0.33
United States of America,1852,0.331
United States of America,1853,0.332
United States of America,1854,0.33
United States of America,1855,0.327
United States of America,1856,0.327
United States of America,1857,0.327
United States of America,1858,0.327
United States of America,1859,0.328
United States of America,1860,0.328
United States of America,1861,0.331
United States of America,1862,0.337
United States of America,1863,0.339
United States of America,1864,0.337
United States of America,1865,0.336
United States of America,1866,0.336
United States of America,1867,0.337
United States of America,1868,0.338
United States of America,1869,0.339
United States of America,1870,0.342
United States of America,1871,0.335
United States of America,1872,0.335
United States of America,1873,0.334
United States of America,1874,0.334
United States of America,1875,0.333
United States of America,1876,0.332
United States of America,1877,0.326
United States of America,1878,0.327
United States of America,1879,0.334
United States of America,1880,0.333
United States of America,1881,0.334
United States of America,1882,0.333
United States of America,1883,0.331
United States of America,1884,0.33
United States of America,1885,0.327
United States of America,1886,0.325
United States of America,1887,0.332
United States of America,1888,0.33
United States of America,1889,0.323
United States of America,1890,0.323
United States of America,1891,0.329
United States of America,1892,0.329
United States of America,1893,0.331
United States of America,1894,0.335
United States of America,1895,0.37
United States of America,1896,0.395
United States of America,1897,0.412
United States of America,1898,0.413
United States of America,1899,0.419
United States of America,1900,0.419
United States of America,1901,0.421
United States of America,1902,0.421
United States of America,1903,0.421
United States of America,1904,0.421
United States of America,1905,0.418
United States of America,1906,0.418
United States of America,1907,0.42
United States of America,1908,0.42
United States of America,1909,0.419
United States of America,1910,0.421
United States of America,1911,0.427
United States of America,1912,0.426
United States of America,1913,0.424
United States of America,1914,0.418
United States of America,1915,0.422
United States of America,1916,0.419
United States of America,1917,0.402
United States of America,1918,0.403
United States of America,1919,0.415
United States of America,1920,0.51
United States of America,1921,0.512
United States of America,1922,0.514
United States of America,1923,0.527
United States of America,1924,0.528
United States of America,1925,0.53
United States of America,1926,0.533
United States of America,1927,0.533
United States of America,1928,0.532
United States of America,1929,0.53
United States of America,1930,0.53
United States of America,1931,0.545
United States of America,1932,0.549
United States of America,1933,0.554
United States of America,1934,0.553
United States of America,1935,0.559
United States of America,1936,0.562
United States of America,1937,0.562
United States of America,1938,0.562
United States of America,1939,0.554
United States of America,1940,0.57
United States of America,1941,0.562
United States of America,1942,0.548
United States of America,1943,0.548
United States of America,1944,0.548
United States of America,1945,0.56
United States of America,1946,0.602
United States of America,1947,0.611
United States of America,1948,0.603
United States of America,1949,0.58
United States of America,1950,0.585
United States of America,1951,0.612
United States of America,1952,0.611
United States of America,1953,0.606
United States of America,1954,0.608
United States of America,1955,0.609
United States of America,1956,0.616
United States of America,1957,0.62
United States of America,1958,0.625
United States of America,1959,0.625
United States of America,1960,0.649
United States of America,1961,0.666
United States of America,1962,0.668
United States of America,1963,0.679
United States of America,1964,0.678
United States of America,1965,0.672
United States of America,1966,0.693
United States of America,1967,0.7
United States of America,1968,0.7
United States of America,1969,0.689
United States of America,1970,0.718
United States of America,1971,0.724
United States of America,1972,0.736
United States of America,1973,0.758
United States of America,1974,0.765
United States of America,1975,0.782
United States of America,1976,0.791
United States of America,1977,0.831
United States of America,1978,0.834
United States of America,1979,0.832
United States of America,1980,0.844
United States of America,1981,0.855
United States of America,1982,0.856
United States of America,1983,0.861
United States of America,1984,0.86
United States of America,1985,0.856
United States of America,1986,0.857
United States of America,1987,0.863
United States of America,1988,0.862
United States of America,1989,0.859
United States of America,1990,0.863
United States of America,1991,0.867
United States of America,1992,0.872
United States of America,1993,0.867
United States of America,1994,0.867
United States of America,1995,0.868
United States of America,1996,0.869
United States of America,1997,0.871
United States of America,1998,0.871
United States of America,1999,0.868
United States of America,2000,0.867
United States of America,2001,0.828
United States of America,2002,0.829
United States of America,2003,0.86
United States of America,2004,0.862
United States of America,2005,0.856
United States of America,2006,0.862
United States of America,2007,0.897
United States of America,2008,0.9
United States of America,2009,0.9
United States of America,2010,0.9
United States of America,2011,0.896
United States of America,2012,0.896
United States of America,2013,0.905
United States of America,2014,0.901
United States of America,2015,0.9
United States of America,2016,0.885
United States of America,2017,0.834
United States of America,2018,0.824
United States of America,2019,0.818
United States of America,2020,0.815
United States of America,2021,0.821
United States of America,2022,0.833
United States of America,2023,0.857
United States of America,2024,0.843
United States of America,2025,0.735
Portugal,1789,0.015
Portugal,1790,0.015
Portugal,1791,0.015
Portugal,1792,0.015
Portugal,1793,0.015
Portugal,1794,0.015
Portugal,1795,0.015
Portugal,1796,0.015
Portugal,1797,0.015
Portugal,1798,0.015
Portugal,1799,0.015
Portugal,1800,0.015
Portugal,1801,0.015
Portugal,1802,0.015
Portugal,1803,0.015
Portugal,1804,0.015
Portugal,1805,0.015
Portugal,1806,0.015
Portugal,1807,0.015
Portugal,1808,0.015
Portugal,1809,0.015
Portugal,1810,0.015
Portugal,1811,0.015
Portugal,1812,0.015
Portugal,1813,0.015
Portugal,1814,0.015
Portugal,1815,0.015
Portugal,1816,0.015
Portugal,1817,0.015
Portugal,1818,0.015
Portugal,1819,0.015
Portugal,1820,0.167
Portugal,1821,0.23
Portugal,1822,0.231
Portugal,1823,0.206
Portugal,1824,0.19
Portugal,1825,0.19
Portugal,1826,0.12
Portugal,1827,0.117
Portugal,1828,0.043
Portugal,1829,0.042
Portugal,1830,0.042
Portugal,1831,0.042
Portugal,1832,0.042
Portugal,1833,0.042
Portugal,1834,0.052
Portugal,1835,0.115
Portugal,1836,0.144
Portugal,1837,0.146
Portugal,1838,0.128
Portugal,1839,0.131
Portugal,1840,0.131
Portugal,1841,0.131
Portugal,1842,0.126
Portugal,1843,0.131
Portugal,1844,0.131
Portugal,1845,0.13
Portugal,1846,0.128
Portugal,1847,0.128
Portugal,1848,0.127
Portugal,1849,0.127
Portugal,1850,0.127
Portugal,1851,0.135
Portugal,1852,0.135
Portugal,1853,0.135
Portugal,1854,0.135
Portugal,1855,0.135
Portugal,1856,0.137
Portugal,1857,0.149
Portugal,1858,0.151
Portugal,1859,0.151
Portugal,1860,0.163
Portugal,1861,0.162
Portugal,1862,0.162
Portugal,1863,0.162
Portugal,1864,0.162
Portugal,1865,0.163
Portugal,1866,0.163
Portugal,1867,0.163
Portugal,1868,0.16
Portugal,1869,0.161
Portugal,1870,0.158
Portugal,1871,0.162
Portugal,1872,0.166
Portugal,1873,0.166
Portugal,1874,0.165
Portugal,1875,0.164
Portugal,1876,0.164
Portugal,1877,0.164
Portugal,1878,0.176
Portugal,1879,0.178
Portugal,1880,0.178
Portugal,1881,0.178
Portugal,1882,0.177
Portugal,1883,0.177
Portugal,1884,0.177
Portugal,1885,0.178
Portugal,1886,0.178
Portugal,1887,0.179
Portugal,1888,0.179
Portugal,1889,0.179
Portugal,1890,0.179
Portugal,1891,0.179
Portugal,1892,0.179
Portugal,1893,0.178
Portugal,1894,0.174
Portugal,1895,0.16
Portugal,1896,0.164
Portugal,1897,0.162
Portugal,1898,0.161
Portugal,1899,0.16
Portugal,1900,0.153
Portugal,1901,0.149
Portugal,1902,0.147
Portugal,1903,0.147
Portugal,1904,0.147
Portugal,1905,0.147
Portugal,1906,0.148
Portugal,1907,0.146
Portugal,1908,0.146
Portugal,1909,0.148
Portugal,1910,0.161
Portugal,1911,0.2
Portugal,1912,0.258
Portugal,1913,0.256
Portugal,1914,0.251
Portugal,1915,0.241
Portugal,1916,0.241
Portugal,1917,0.232
Portugal,1918,0.219
Portugal,1919,0.227
Portugal,1920,0.252
Portugal,1921,0.249
Portugal,1922,0.25
Portugal,1923,0.25
Portugal,1924,0.25
Portugal,1925,0.248
Portugal,1926,0.107
Portugal,1927,0.048
Portugal,1928,0.096
Portugal,1929,0.112
Portugal,1930,0.107
Portugal,1931,0.122
Portugal,1932,0.117
Portugal,1933,0.118
Portugal,1934,0.115
Portugal,1935,0.111
Portugal,1936,0.111
Portugal,1937,0.111
Portugal,1938,0.111
Portugal,1939,0.111
Portugal,1940,0.115
Portugal,1941,0.116
Portugal,1942,0.116
Portugal,1943,0.116
Portugal,1944,0.116
Portugal,1945,0.118
Portugal,1946,0.118
Portugal,1947,0.118
Portugal,1948,0.118
Portugal,1949,0.118
Portugal,1950,0.12
Portugal,1951,0.12
Portugal,1952,0.12
Portugal,1953,0.121
Portugal,1954,0.12
Portugal,1955,0.12
Portugal,1956,0.12
Portugal,1957,0.122
Portugal,1958,0.122
Portugal,1959,0.121
Portugal,1960,0.128
Portugal,1961,0.129
Portugal,1962,0.128
Portugal,1963,0.128
Portugal,1964,0.128
Portugal,1965,0.128
Portugal,1966,0.119
Portugal,1967,0.119
Portugal,1968,0.12
Portugal,1969,0.128
Portugal,1970,0.147
Portugal,1971,0.147
Portugal,1972,0.147
Portugal,1973,0.151
Portugal,1974,0.228
Portugal,1975,0.307
Portugal,1976,0.513
Portugal,1977,0.747
Portugal,1978,0.746
Portugal,1979,0.753
Portugal,1980,0.841
Portugal,1981,0.842
Portugal,1982,0.842
Portugal,1983,0.857
Portugal,1984,0.864
Portugal,1985,0.864
Portugal,1986,0.86
Portugal,1987,0.864
Portugal,1988,0.87
Portugal,1989,0.87
Portugal,1990,0.869
Portugal,1991,0.859
Portugal,1992,0.858
Portugal,1993,0.858
Portugal,1994,0.858
Portugal,1995,0.861
Portugal,1996,0.869
Portugal,1997,0.869
Portugal,1998,0.869
Portugal,1999,0.868
Portugal,2000,0.867
Portugal,2001,0.871
Portugal,2002,0.876
Portugal,2003,0.876
Portugal,2004,0.876
Portugal,2005,0.889
Portugal,2006,0.894
Portugal,2007,0.894
Portugal,2008,0.893
Portugal,2009,0.894
Portugal,2010,0.894
Portugal,2011,0.884
Portugal,2012,0.885
Portugal,2013,0.886
Portugal,2014,0.886
Portugal,2015,0.887
Portugal,2016,0.888
Portugal,2017,0.898
Portugal,2018,0.899
Portugal,2019,0.886
Portugal,2020,0.886
Portugal,2021,0.884
Portugal,2022,0.847
Portugal,2023,0.854
Portugal,2024,0.836
Portugal,2025,0.822
